"id","titulopincipal","titulooriginal","anolancamento","tempominutos","genero","notamedia","numerovotos","generoartista","personagem","nomeartista","anonascimento","anofalecimento","profissao","titulosmaisconhecidos"
"tt0475140","Ren'ai-shousetsu","Ren'ai-shousetsu","2004","105","Romance","7.0","17","actress","Chinatsu Onuki","Kaoru Okunuki","1970","\N","actress","tt4028828,tt10198224,tt1323930,tt0279112"
"tt0475140","Ren'ai-shousetsu","Ren'ai-shousetsu","2004","105","Romance","7.0","17","actress","Miwa Ogaki","Aya Hirayama","1984","\N","actress,soundtrack","tt0475760,tt0416499,tt1586753,tt1020048"
"tt0475369","Red Thread","Red Thread","2005","92","Romance","5.6","62","actress","Tamara","Jasmine Brooke White","1979","\N","actress,writer,producer","tt0475369,tt2446980,tt2215294,tt4192816"
"tt0475369","Red Thread","Red Thread","2005","92","Romance","5.6","62","actress","Miss Johnson","Diana Scarwid","1955","\N","actress,soundtrack","tt0080928,tt0082766,tt0161081,tt0086312"
"tt0475369","Red Thread","Red Thread","2005","92","Romance","5.6","62","actor","Billy","Jonathan Irons","\N","\N","actor","tt0475369,tt1486696"
"tt0475369","Red Thread","Red Thread","2005","92","Romance","5.6","62","actor","Mark","Eamon Sheehan","1980","\N","actor,writer,producer","tt4121288,tt1904996,tt3557662,tt2279373"
"tt0475639","A Heartful of Love","Kono mune ippai no ai wo","2005","132","Romance","6.3","133","actress","Kazumi Aoki","Rie Mimura","1984","\N","actress","tt8585810,tt9251748,tt1744576,tt0467709"
"tt0475639","A Heartful of Love","Kono mune ippai no ai wo","2005","132","Romance","6.3","133","actress","Tomoe Kakuta","Chieko Baishô","1941","\N","actress,soundtrack","tt0081288,tt0347149,tt0066190,tt0073498"
"tt0475639","A Heartful of Love","Kono mune ippai no ai wo","2005","132","Romance","6.3","133","actor","Hiroshi Suzutani","Hideaki Itô","1975","\N","actor,talent_agent","tt5882982,tt2294473,tt2053339"
"tt0475639","A Heartful of Love","Kono mune ippai no ai wo","2005","132","Romance","6.3","133","actor","Aoki","Kin'ya Aikawa","1934","2015","actor,director,writer","tt2469964,tt0061300,tt1783369,tt0142250"
"tt0476761","Deha","Deha","2007","126","Romance","6.6","83","actress","Jayshree 'Jai'","Supriya Karnik","1975","\N","actress","tt2801992,tt5785200,tt0354538,tt0488798"
"tt0476761","Deha","Deha","2007","126","Romance","6.6","83","actress","Sandhya JoshiSandhya M. Desai","Jaya Prada","1962","\N","actress,producer","tt0088099,tt0249963,tt0154154,tt0086231"
"tt0476761","Deha","Deha","2007","126","Romance","6.6","83","actor","Madhav 'Maddy' Desai","Mahesh Manjrekar","1953","\N","writer,producer,actor","tt0294662,tt1010048,tt0261545,tt0220832"
"tt0476761","Deha","Deha","2007","126","Romance","6.6","83","actress","Rini SinhaRini M. Desai","Amrita Arora","1981","\N","actress","tt0476847,tt0313395,tt0456413,tt0319020"
"tt0477353","Oru Kalluriyin Kathai","Oru Kalluriyin Kathai","2005","\N","Romance","4.9","124","actor","Guru","Anand Sami","\N","\N","actor","tt4818776,tt1496872,tt9544034,tt1433543"
"tt0477353","Oru Kalluriyin Kathai","Oru Kalluriyin Kathai","2005","\N","Romance","4.9","124","actress","Jothi","Sonia Agarwal","1982","\N","actress","tt0375880,tt0459516,tt5995602,tt7822438"
"tt0477353","Oru Kalluriyin Kathai","Oru Kalluriyin Kathai","2005","\N","Romance","4.9","124","actor","\N","Arya","1980","\N","actor,producer","tt2555958,tt1379228,tt10370932,tt11580854"
"tt0477353","Oru Kalluriyin Kathai","Oru Kalluriyin Kathai","2005","\N","Romance","4.9","124","actor","\N","Mouli","\N","\N","actor,director,writer","tt1579651,tt0422908,tt13701540,tt6847338"
"tt0477930","Moments of Love","Yung po mui yuk hak fa for","2005","90","Romance","7.2","21","actress","\N","June Chan","1974","\N","actress","tt0122058,tt0477930,tt0853227,tt0114412"
"tt0477930","Moments of Love","Yung po mui yuk hak fa for","2005","90","Romance","7.2","21","actor","\N","Kwok-wai Choi","\N","\N","actor","tt0477930"
"tt0477930","Moments of Love","Yung po mui yuk hak fa for","2005","90","Romance","7.2","21","actor","Sing","Steven Cheung","1984","\N","actor,producer","tt8075474,tt1753521,tt0386005,tt0469050"
"tt0477930","Moments of Love","Yung po mui yuk hak fa for","2005","90","Romance","7.2","21","actress","Wiz","Macy Chan","\N","\N","actress","tt0477930,tt1462900,tt1711475,tt2075310"
"tt0477930","Moments of Love","Yung po mui yuk hak fa for","2005","90","Romance","7.2","21","actor","Ronald","Hins Cheung","1981","\N","actor","tt1008039,tt0477930,tt7748538,tt0996978"
"tt0478031","Sevdigim usak","Sevdigim usak","1971","\N","Romance","6.7","23","actor","\N","Ali Demir","1921","1996","actor,assistant_director,camera_department","tt0438236,tt3251764,tt5986116,tt5547116"
"tt0478031","Sevdigim usak","Sevdigim usak","1971","\N","Romance","6.7","23","actress","\N","Diclehan Baban","1934","1978","actress","tt0420911,tt0062060,tt0479242,tt0369948"
