id,titulopincipal,titulooriginal,anolancamento,tempominutos,genero,notamedia,numerovotos,generoartista,nomeartista,profissao
tt0485243,Jodi,Jodi,1999,161,Romance,6.1,232,actress,S.N. Lakshmi,actress
tt0485243,Jodi,Jodi,1999,161,Romance,6.1,232,actor,Sakthi Chidambaram,"director,writer,actor"
tt0485243,Jodi,Jodi,1999,161,Romance,6.1,232,actor,Nassar,"actor,writer,director"
tt0485486,Something Something... Unnakum Ennakum,Something Something... Unnakum Ennakum,2006,178,Romance,6.9,1074,actress,Trisha Krishnan,actress
tt0485486,Something Something... Unnakum Ennakum,Something Something... Unnakum Ennakum,2006,178,Romance,6.9,1074,actor,Prabhu,"actor,producer,music_department"
tt0485486,Something Something... Unnakum Ennakum,Something Something... Unnakum Ennakum,2006,178,Romance,6.9,1074,actor,Bhagyaraj,"actor,writer,director"
tt0485486,Something Something... Unnakum Ennakum,Something Something... Unnakum Ennakum,2006,178,Romance,6.9,1074,actor,Jayam Ravi,"actor,music_department,soundtrack"
tt0485551,Time Pass,Time Pass,2005,88,Romance,4.1,44,actress,Monica Patel,actress
tt0485551,Time Pass,Time Pass,2005,88,Romance,4.1,44,actress,Sherlyn Chopra,"actress,director,writer"
tt0485551,Time Pass,Time Pass,2005,88,Romance,4.1,44,actor,Adi Irani,"actor,director,writer"
tt0485551,Time Pass,Time Pass,2005,88,Romance,4.1,44,actress,Tanaaz Currim Irani,"actress,miscellaneous"
tt0487948,Texture of Skin,Sal-gyeol,2007,93,Romance,4.9,79,actor,Ki-won Yoon,actor
tt0487948,Texture of Skin,Sal-gyeol,2007,93,Romance,4.9,79,actor,Dae-yeon Lee,actor
tt0487948,Texture of Skin,Sal-gyeol,2007,93,Romance,4.9,79,actor,Gye-nam Myeong,"actor,producer,miscellaneous"
tt0487948,Texture of Skin,Sal-gyeol,2007,93,Romance,4.9,79,actor,Yoon-tae Kim,actor
tt0487948,Texture of Skin,Sal-gyeol,2007,93,Romance,4.9,79,actor,Yong-min Choi,actor
tt0487948,Texture of Skin,Sal-gyeol,2007,93,Romance,4.9,79,actor,Moo-Seong Choi,actor
tt0487948,Texture of Skin,Sal-gyeol,2007,93,Romance,4.9,79,actress,Kim Joo-Ryung,actress
tt0487948,Texture of Skin,Sal-gyeol,2007,93,Romance,4.9,79,actor,Kwang-min Kim,actor
tt0487948,Texture of Skin,Sal-gyeol,2007,93,Romance,4.9,79,actress,Bo-Yeong Choi,actress
tt0488031,A Boy Who Went to Heaven,"Sonyeon, Cheonguk-e gada",2005,110,Romance,6.5,185,actress,Seo-won Cha,actress
tt0488031,A Boy Who Went to Heaven,"Sonyeon, Cheonguk-e gada",2005,110,Romance,6.5,185,actress,Yum Jung-ah,actress
tt0488031,A Boy Who Went to Heaven,"Sonyeon, Cheonguk-e gada",2005,110,Romance,6.5,185,actor,Kwan-woo Kim,actor
tt0488031,A Boy Who Went to Heaven,"Sonyeon, Cheonguk-e gada",2005,110,Romance,6.5,185,actor,Park Hae-il,actor
tt0488316,Mazaa Mazaa,Mazaa Mazaa,2005,99,Romance,3.1,73,actor,Pankaj Berry,actor
tt0488316,Mazaa Mazaa,Mazaa Mazaa,2005,99,Romance,3.1,73,actress,Mridula Baruah,actress
tt0488316,Mazaa Mazaa,Mazaa Mazaa,2005,99,Romance,3.1,73,actress,Payal Rohatgi,actress
tt0488316,Mazaa Mazaa,Mazaa Mazaa,2005,99,Romance,3.1,73,actor,Farid Amiri,"actor,costume_department"
tt0488316,Mazaa Mazaa,Mazaa Mazaa,2005,99,Romance,3.1,73,actor,Vishwajeet Pradhan,actor
tt0488316,Mazaa Mazaa,Mazaa Mazaa,2005,99,Romance,3.1,73,actor,Surya Dwivedi,
