id,titulopincipal,titulooriginal,anolancamento,tempominutos,genero,notamedia,numerovotos
tt6721424,Mugulu Nage,Mugulu Nage,2017,157,Romance,7.4,484
tt6721424,Mugulu Nage,Mugulu Nage,2017,157,Romance,7.4,484
tt6721424,Mugulu Nage,Mugulu Nage,2017,157,Romance,7.4,484
tt6721424,Mugulu Nage,Mugulu Nage,2017,157,Romance,7.4,484
tt6731862,Can We Still Be Friends?,Can We Still Be Friends?,2017,113,Romance,6.4,96
tt6731862,Can We Still Be Friends?,Can We Still Be Friends?,2017,113,Romance,6.4,96
tt6731862,Can We Still Be Friends?,Can We Still Be Friends?,2017,113,Romance,6.4,96
tt6731862,Can We Still Be Friends?,Can We Still Be Friends?,2017,113,Romance,6.4,96
tt6750962,Channa Mereya,Channa Mereya,2017,132,Romance,6.1,210
tt6750962,Channa Mereya,Channa Mereya,2017,132,Romance,6.1,210
tt6750962,Channa Mereya,Channa Mereya,2017,132,Romance,6.1,210
tt6750962,Channa Mereya,Channa Mereya,2017,132,Romance,6.1,210
tt6771678,Karsandas Pay and Use,Karsandas Pay and Use,2017,136,Romance,7.4,477
tt6771678,Karsandas Pay and Use,Karsandas Pay and Use,2017,136,Romance,7.4,477
tt6771678,Karsandas Pay and Use,Karsandas Pay and Use,2017,136,Romance,7.4,477
tt6771678,Karsandas Pay and Use,Karsandas Pay and Use,2017,136,Romance,7.4,477
tt6792594,V.I.P,V.I.P,1997,\N,Romance,6.1,45
tt6792594,V.I.P,V.I.P,1997,\N,Romance,6.1,45
tt6792594,V.I.P,V.I.P,1997,\N,Romance,6.1,45
tt6792594,V.I.P,V.I.P,1997,\N,Romance,6.1,45
tt6798992,Molodoy eschyo,Molodoy eschyo,2015,48,Romance,4.2,20
tt6798992,Molodoy eschyo,Molodoy eschyo,2015,48,Romance,4.2,20
tt6798992,Molodoy eschyo,Molodoy eschyo,2015,48,Romance,4.2,20
tt6798992,Molodoy eschyo,Molodoy eschyo,2015,48,Romance,4.2,20
tt6800650,You Can Call Me John,You Can Call Me John,2017,120,Romance,8.6,62
tt6800650,You Can Call Me John,You Can Call Me John,2017,120,Romance,8.6,62
tt6800650,You Can Call Me John,You Can Call Me John,2017,120,Romance,8.6,62
tt6800650,You Can Call Me John,You Can Call Me John,2017,120,Romance,8.6,62
tt6808038,Chembarathipoo,Chembarathipoo,2017,148,Romance,5.6,56
tt6808038,Chembarathipoo,Chembarathipoo,2017,148,Romance,5.6,56
tt6808038,Chembarathipoo,Chembarathipoo,2017,148,Romance,5.6,56
tt6808038,Chembarathipoo,Chembarathipoo,2017,148,Romance,5.6,56
tt6812080,Inidhu Inidhu Kadhal Inidhu,Inidhu Inidhu Kadhal Inidhu,2003,\N,Romance,4.4,7
tt6812080,Inidhu Inidhu Kadhal Inidhu,Inidhu Inidhu Kadhal Inidhu,2003,\N,Romance,4.4,7
tt6812080,Inidhu Inidhu Kadhal Inidhu,Inidhu Inidhu Kadhal Inidhu,2003,\N,Romance,4.4,7
tt6812080,Inidhu Inidhu Kadhal Inidhu,Inidhu Inidhu Kadhal Inidhu,2003,\N,Romance,4.4,7
tt6812080,Inidhu Inidhu Kadhal Inidhu,Inidhu Inidhu Kadhal Inidhu,2003,\N,Romance,4.4,7
tt6838460,The Game Changer,The Game Changer,2019,105,Romance,8.3,15
tt6838460,The Game Changer,The Game Changer,2019,105,Romance,8.3,15
tt6838460,The Game Changer,The Game Changer,2019,105,Romance,8.3,15
tt6838460,The Game Changer,The Game Changer,2019,105,Romance,8.3,15
tt6867828,With or Without You,With or Without You,2016,101,Romance,6.6,9
tt6867828,With or Without You,With or Without You,2016,101,Romance,6.6,9
tt6867828,With or Without You,With or Without You,2016,101,Romance,6.6,9
tt6876318,Yom men el-Ayyam,Yom men el-Ayyam,2017,88,Romance,5.8,54
tt6876318,Yom men el-Ayyam,Yom men el-Ayyam,2017,88,Romance,5.8,54
tt6876318,Yom men el-Ayyam,Yom men el-Ayyam,2017,88,Romance,5.8,54
tt6876318,Yom men el-Ayyam,Yom men el-Ayyam,2017,88,Romance,5.8,54
tt6876318,Yom men el-Ayyam,Yom men el-Ayyam,2017,88,Romance,5.8,54
tt6876318,Yom men el-Ayyam,Yom men el-Ayyam,2017,88,Romance,5.8,54
tt6876318,Yom men el-Ayyam,Yom men el-Ayyam,2017,88,Romance,5.8,54
tt6886062,Cheese in the Trap,Cheese in the Trap,2018,116,Romance,5.7,538
tt6886062,Cheese in the Trap,Cheese in the Trap,2018,116,Romance,5.7,538
tt6886062,Cheese in the Trap,Cheese in the Trap,2018,116,Romance,5.7,538
tt6886062,Cheese in the Trap,Cheese in the Trap,2018,116,Romance,5.7,538
tt6886062,Cheese in the Trap,Cheese in the Trap,2018,116,Romance,5.7,538
tt6886062,Cheese in the Trap,Cheese in the Trap,2018,116,Romance,5.7,538
tt6916936,Ichak,Ichak,2017,104,Romance,5.8,8
tt6916936,Ichak,Ichak,2017,104,Romance,5.8,8
tt6916936,Ichak,Ichak,2017,104,Romance,5.8,8
tt6916936,Ichak,Ichak,2017,104,Romance,5.8,8
tt6917012,Atumgiri,Atumgiri,2017,\N,Romance,7.1,14
tt6917012,Atumgiri,Atumgiri,2017,\N,Romance,7.1,14
tt6917012,Atumgiri,Atumgiri,2017,\N,Romance,7.1,14
tt6917012,Atumgiri,Atumgiri,2017,\N,Romance,7.1,14
tt6925132,Lavakusa,Lavakusa,2015,91,Romance,5.1,12
tt6925132,Lavakusa,Lavakusa,2015,91,Romance,5.1,12
tt6925132,Lavakusa,Lavakusa,2015,91,Romance,5.1,12
tt6925132,Lavakusa,Lavakusa,2015,91,Romance,5.1,12
tt6925132,Lavakusa,Lavakusa,2015,91,Romance,5.1,12
tt6925132,Lavakusa,Lavakusa,2015,91,Romance,5.1,12
tt6925132,Lavakusa,Lavakusa,2015,91,Romance,5.1,12
tt6925132,Lavakusa,Lavakusa,2015,91,Romance,5.1,12
tt6925132,Lavakusa,Lavakusa,2015,91,Romance,5.1,12
tt6925150,Brahmi Gadi Katha,Brahmi Gadi Katha,2011,\N,Romance,7.2,13
tt6925150,Brahmi Gadi Katha,Brahmi Gadi Katha,2011,\N,Romance,7.2,13
tt6925150,Brahmi Gadi Katha,Brahmi Gadi Katha,2011,\N,Romance,7.2,13
tt6925150,Brahmi Gadi Katha,Brahmi Gadi Katha,2011,\N,Romance,7.2,13
tt6925150,Brahmi Gadi Katha,Brahmi Gadi Katha,2011,\N,Romance,7.2,13
tt6925150,Brahmi Gadi Katha,Brahmi Gadi Katha,2011,\N,Romance,7.2,13
tt6945992,An Unforgettable Day,Nan wang de yi tian,1979,\N,Romance,6.0,7
tt6945992,An Unforgettable Day,Nan wang de yi tian,1979,\N,Romance,6.0,7
tt6945992,An Unforgettable Day,Nan wang de yi tian,1979,\N,Romance,6.0,7
tt6945992,An Unforgettable Day,Nan wang de yi tian,1979,\N,Romance,6.0,7
tt6945992,An Unforgettable Day,Nan wang de yi tian,1979,\N,Romance,6.0,7
tt6975046,Ami Je Ke Tomar,Ami Je Ke Tomar,2017,136,Romance,4.7,172
tt6975046,Ami Je Ke Tomar,Ami Je Ke Tomar,2017,136,Romance,4.7,172
tt6975046,Ami Je Ke Tomar,Ami Je Ke Tomar,2017,136,Romance,4.7,172
tt6975046,Ami Je Ke Tomar,Ami Je Ke Tomar,2017,136,Romance,4.7,172
tt6975046,Ami Je Ke Tomar,Ami Je Ke Tomar,2017,136,Romance,4.7,172
tt6975046,Ami Je Ke Tomar,Ami Je Ke Tomar,2017,136,Romance,4.7,172
tt6975084,Tomake Chai,Tomake Chai,2017,121,Romance,4.6,114
tt6975084,Tomake Chai,Tomake Chai,2017,121,Romance,4.6,114
tt6975084,Tomake Chai,Tomake Chai,2017,121,Romance,4.6,114
tt6975084,Tomake Chai,Tomake Chai,2017,121,Romance,4.6,114
tt6975084,Tomake Chai,Tomake Chai,2017,121,Romance,4.6,114
tt6998762,La Historia Du Un Amor,Lin shi yan yuan,2017,\N,Romance,3.4,18
tt6998762,La Historia Du Un Amor,Lin shi yan yuan,2017,\N,Romance,3.4,18
tt6998762,La Historia Du Un Amor,Lin shi yan yuan,2017,\N,Romance,3.4,18
tt6998762,La Historia Du Un Amor,Lin shi yan yuan,2017,\N,Romance,3.4,18
tt6998762,La Historia Du Un Amor,Lin shi yan yuan,2017,\N,Romance,3.4,18
tt6998762,La Historia Du Un Amor,Lin shi yan yuan,2017,\N,Romance,3.4,18
tt6998762,La Historia Du Un Amor,Lin shi yan yuan,2017,\N,Romance,3.4,18
tt7030194,A Walk with Grace,A Walk with Grace,2019,100,Romance,4.3,131
tt7030194,A Walk with Grace,A Walk with Grace,2019,100,Romance,4.3,131
tt7030194,A Walk with Grace,A Walk with Grace,2019,100,Romance,4.3,131
tt7030194,A Walk with Grace,A Walk with Grace,2019,100,Romance,4.3,131
tt7031338,Pierre Jackson,Pierre Jackson,2018,81,Romance,6.8,84
tt7031338,Pierre Jackson,Pierre Jackson,2018,81,Romance,6.8,84
tt7031338,Pierre Jackson,Pierre Jackson,2018,81,Romance,6.8,84
tt7031338,Pierre Jackson,Pierre Jackson,2018,81,Romance,6.8,84
tt7034918,Crying Out in Love,Zai shi jie zhong xin hu huan ai,2016,96,Romance,5.7,49
tt7034918,Crying Out in Love,Zai shi jie zhong xin hu huan ai,2016,96,Romance,5.7,49
tt7034918,Crying Out in Love,Zai shi jie zhong xin hu huan ai,2016,96,Romance,5.7,49
tt7034918,Crying Out in Love,Zai shi jie zhong xin hu huan ai,2016,96,Romance,5.7,49
tt7034918,Crying Out in Love,Zai shi jie zhong xin hu huan ai,2016,96,Romance,5.7,49
tt7034918,Crying Out in Love,Zai shi jie zhong xin hu huan ai,2016,96,Romance,5.7,49
tt7055812,Chain Aye Na,Chain Aye Na,2017,149,Romance,5.3,39
tt7055812,Chain Aye Na,Chain Aye Na,2017,149,Romance,5.3,39
tt7055812,Chain Aye Na,Chain Aye Na,2017,149,Romance,5.3,39
tt7055812,Chain Aye Na,Chain Aye Na,2017,149,Romance,5.3,39
tt7108736,Voter,Voter,2019,117,Romance,5.1,291
tt7108736,Voter,Voter,2019,117,Romance,5.1,291
tt7108736,Voter,Voter,2019,117,Romance,5.1,291
tt7108736,Voter,Voter,2019,117,Romance,5.1,291
tt7111822,Raja Meeru Keka,Raja Meeru Keka,2017,123,Romance,5.8,25
tt7111822,Raja Meeru Keka,Raja Meeru Keka,2017,123,Romance,5.8,25
tt7111822,Raja Meeru Keka,Raja Meeru Keka,2017,123,Romance,5.8,25
tt7111822,Raja Meeru Keka,Raja Meeru Keka,2017,123,Romance,5.8,25
tt7111822,Raja Meeru Keka,Raja Meeru Keka,2017,123,Romance,5.8,25
tt7111826,Pelliki Mundu Prema Katha,Pelliki Mundu Prema Katha,2017,\N,Romance,8.0,27
tt7112622,Ishta Sakhi,Ishta Sakhi,2013,\N,Romance,7.6,20
tt7112622,Ishta Sakhi,Ishta Sakhi,2013,\N,Romance,7.6,20
tt7112622,Ishta Sakhi,Ishta Sakhi,2013,\N,Romance,7.6,20
tt7112622,Ishta Sakhi,Ishta Sakhi,2013,\N,Romance,7.6,20
tt7112622,Ishta Sakhi,Ishta Sakhi,2013,\N,Romance,7.6,20
tt7112622,Ishta Sakhi,Ishta Sakhi,2013,\N,Romance,7.6,20
tt7112622,Ishta Sakhi,Ishta Sakhi,2013,\N,Romance,7.6,20
tt7116248,Afterburn/Aftershock,Afterburn/Aftershock,2017,99,Romance,5.2,1042
tt7116248,Afterburn/Aftershock,Afterburn/Aftershock,2017,99,Romance,5.2,1042
tt7116248,Afterburn/Aftershock,Afterburn/Aftershock,2017,99,Romance,5.2,1042
tt7116248,Afterburn/Aftershock,Afterburn/Aftershock,2017,99,Romance,5.2,1042
tt7137706,Amado,Amado,2018,\N,Romance,8.7,7
tt7137706,Amado,Amado,2018,\N,Romance,8.7,7
tt7137706,Amado,Amado,2018,\N,Romance,8.7,7
tt7137706,Amado,Amado,2018,\N,Romance,8.7,7
tt7142036,Kamalar Banabas,Kamalar Banabas,2016,138,Romance,3.4,5
tt7142036,Kamalar Banabas,Kamalar Banabas,2016,138,Romance,3.4,5
tt7142036,Kamalar Banabas,Kamalar Banabas,2016,138,Romance,3.4,5
tt7142036,Kamalar Banabas,Kamalar Banabas,2016,138,Romance,3.4,5
tt7142036,Kamalar Banabas,Kamalar Banabas,2016,138,Romance,3.4,5
tt7142036,Kamalar Banabas,Kamalar Banabas,2016,138,Romance,3.4,5
tt7142066,Kanchanmala,Kanchanmala,1999,143,Romance,4.0,7
tt7142066,Kanchanmala,Kanchanmala,1999,143,Romance,4.0,7
tt7142066,Kanchanmala,Kanchanmala,1999,143,Romance,4.0,7
tt7142066,Kanchanmala,Kanchanmala,1999,143,Romance,4.0,7
tt7142066,Kanchanmala,Kanchanmala,1999,143,Romance,4.0,7
tt7142066,Kanchanmala,Kanchanmala,1999,143,Romance,4.0,7
tt7142066,Kanchanmala,Kanchanmala,1999,143,Romance,4.0,7
tt7162138,Nayaner Alo,Nayaner Alo,1998,144,Romance,6.0,7
tt7162138,Nayaner Alo,Nayaner Alo,1998,144,Romance,6.0,7
tt7162138,Nayaner Alo,Nayaner Alo,1998,144,Romance,6.0,7
tt7162138,Nayaner Alo,Nayaner Alo,1998,144,Romance,6.0,7
tt7162502,Sagarika,Sagarika,1998,151,Romance,5.9,13
tt7162502,Sagarika,Sagarika,1998,151,Romance,5.9,13
tt7162502,Sagarika,Sagarika,1998,151,Romance,5.9,13
tt7162502,Sagarika,Sagarika,1998,151,Romance,5.9,13
tt7162502,Sagarika,Sagarika,1998,151,Romance,5.9,13
tt7188858,For Love,For Love,2016,94,Romance,3.8,6
tt7188858,For Love,For Love,2016,94,Romance,3.8,6
tt7188858,For Love,For Love,2016,94,Romance,3.8,6
tt7188858,For Love,For Love,2016,94,Romance,3.8,6
tt7239146,Todas as Canções de Amor,Todas as Canções de Amor,2018,92,Romance,6.7,225
tt7239146,Todas as Canções de Amor,Todas as Canções de Amor,2018,92,Romance,6.7,225
tt7239146,Todas as Canções de Amor,Todas as Canções de Amor,2018,92,Romance,6.7,225
tt7239146,Todas as Canções de Amor,Todas as Canções de Amor,2018,92,Romance,6.7,225
tt7243910,Rachna No Dabbo,Rachna No Dabbo,2017,138,Romance,8.0,11
tt7243910,Rachna No Dabbo,Rachna No Dabbo,2017,138,Romance,8.0,11
tt7243910,Rachna No Dabbo,Rachna No Dabbo,2017,138,Romance,8.0,11
tt7243910,Rachna No Dabbo,Rachna No Dabbo,2017,138,Romance,8.0,11
tt7254046,Kalavaadiya Pozhudhugal,Kalavaadiya Pozhudhugal,2017,154,Romance,5.9,61
tt7254046,Kalavaadiya Pozhudhugal,Kalavaadiya Pozhudhugal,2017,154,Romance,5.9,61
tt7254046,Kalavaadiya Pozhudhugal,Kalavaadiya Pozhudhugal,2017,154,Romance,5.9,61
tt7254046,Kalavaadiya Pozhudhugal,Kalavaadiya Pozhudhugal,2017,154,Romance,5.9,61
tt7257446,Era giovane e aveva gli occhi chiari,Era giovane e aveva gli occhi chiari,2017,87,Romance,6.6,17
tt7257446,Era giovane e aveva gli occhi chiari,Era giovane e aveva gli occhi chiari,2017,87,Romance,6.6,17
tt7257446,Era giovane e aveva gli occhi chiari,Era giovane e aveva gli occhi chiari,2017,87,Romance,6.6,17
tt7257446,Era giovane e aveva gli occhi chiari,Era giovane e aveva gli occhi chiari,2017,87,Romance,6.6,17
tt7257734,Pencuri Hati Mr. Cinderella,Pencuri Hati Mr. Cinderella,2017,\N,Romance,2.3,37
tt7257734,Pencuri Hati Mr. Cinderella,Pencuri Hati Mr. Cinderella,2017,\N,Romance,2.3,37
tt7257734,Pencuri Hati Mr. Cinderella,Pencuri Hati Mr. Cinderella,2017,\N,Romance,2.3,37
tt7257734,Pencuri Hati Mr. Cinderella,Pencuri Hati Mr. Cinderella,2017,\N,Romance,2.3,37
